,text,sentiment
0,"Rather, if there are people who take in various opinions once and go through the thought process of saying, ""Yeah, Umakote's opinion is 100% correct,"" I'd be too scared to cry.",negative
1,It's been a long time since I've seen a fork one bang and it flies sideways.,positive
2,"I know it's MM today, but I think MM has teamed up with Yuu Suzuki more times, and it's Wakatsuki Wakatsuki who's a constant striker.",positive
3,Adachi gets hit in the opposite direction vs Kiyomiya who misses the touch,negative
4,Wakatsuki doubled while I wasn't watching,neutral
5,Memories should remain as memories,neutral
6,"But this card won't lose 6 straight

It's 5 consecutive battles",neutral
7,Old men who start regaining the hearts of kids,neutral
8,"You might die tomorrow, so watch your favorite anime for a second week campaign",positive
9,The range is too broad and misinformation,negative
10,Received emergency earthquake early warning on smartphone for the first time,neutral
11,It's an evacuation drill.,neutral
12,Machikado Mazoku season 2 yet,neutral
13,"As far as I know, there are 3 jobs I received from Vtubers, but 2 are missing and 1 will never debut.",negative
14,It was a good event because Warukap gave me some hope for the future of JEB. I'm not done yet,positive
15,"I think the time will come when superhuman pen spinning will be in the limelight.
Thirteen and a half years ago, the shoddy tricks I'm doing now looked like superhuman skills, so all I have to do is start over.",positive
16,Much healthier than battling with non-sharable personal feeling-based evaluations,positive
17,"Rodriguez was probably hit by a pitch, but he doesn't have to come back to the first team until he can hit a straight ball.",negative
18,"I got gd before the opening, so it's okay, but this year is a year of A-class jinx, so if it wasn't for the new coronavirus, my heart would have stopped.",negative
19,"It's a private list anyway, let's use fan art in the header",positive
20,"When I start thinking about these things, I want to add an infinite list",positive
21,"If it weighs about the same as a high-tech and has a 100-yen cap, wow!",positive
22,"Lately, I've been saying ""Koinoshirushi is amazing"" every day.",neutral
23,stomatitis···,negative
24,College students are now in the period of final exams?,neutral
25,I'm getting really sleepy but what is this,negative
26,A smartphone app that teaches you how to abuse it when you select dark mode (the color does not change),neutral
27,Can you take a picture after a long time,positive
28,Finally made Twifeel (lazy),neutral
29,Did you come up with a good project? ?,positive
30,Ohtani Two games in a row~ It's also that both balls aren't normally hit with HR,negative
31,"Of the character songs sung by Nao Higashiyama, my favorite is...Natsuiro Surprise",positive
32,smoothly,positive
33,teeth? Nakano Colorless Is it back again?,neutral
34,"It's uncomfortable to watch all the lies, so I blocked it.",negative
35,I'm doing the Fukuda third,negative
36,"If you live in a rural area, you can get a number when you get infected with Corona, so it seems like an ad",neutral
37,"You're lying, Wakatsuki No. 3...! ?",neutral
38,I really want you to call Rika Tachibana as a temporary batting coach for next year's spring camp.,positive
39,It's too scary that I got two shots in one game when I stretched a little more,negative
40,I never thought the day would come when Orix's natural enemy Arihara would be tormented by Wakatsuki.,neutral
41,August! ? ! ? ! ? ! ? ! ? ! ? ! ! ? ! ? ! ! ? ! ? ! ? ! ?,neutral
42,"I came up with a technique that I want to practice, but I have no idea what it means",negative
